station,emission,echeance,horizon,mb1,mb2,mb3,mb4,mb5,mb6,mb7,mb8,mb9,mb10,mb11,mb12,mb13,mb14,mb15,mb16,mb17,mb18,mb19,mb20,mb21,mb22,mb23,mb24,mb25,mb26,mb27,mb28,mb29,mb30,mb31,mb32,mb33,mb34,mb35,mb36,mb37,mb38,mb39,mb40,mb41,mb42,mb43,mb44,mb45,mb46,mb47,mb48,mb49,mb50
022513,2021-08-02 00:00:00,2021-08-07 00:00:00,120,6.65625,5.9375,6.703125,8.015625,6.234375,5.953125,6.421875,6.828125,6.609375,5.75,6.875,8.0,6.28125,7.265625,5.765625,5.859375,6.09375,6.609375,5.90625,5.828125,6.28125,6.65625,7.453125,7.546875,6.296875,6.25,6.03125,6.5,6.03125,5.71875,6.078125,6.28125,5.875,7.015625,5.921875,7.078125,5.953125,5.921875,6.21875,6.78125,6.453125,6.484375,6.515625,5.703125,7.171875,6.359375,6.5625,5.984375,7.640625,5.78125
022513,2021-08-02 00:00:00,2021-08-08 00:00:00,144,6.3125,5.96875,6.21875,7.640625,5.796875,5.953125,5.953125,6.90625,6.359375,5.640625,8.859375,13.84375,6.484375,7.0625,6.203125,6.0625,6.171875,6.234375,13.03125,6.171875,5.921875,7.125,7.15625,8.1875,10.59375,5.890625,5.921875,6.203125,13.90625,5.484375,6.21875,6.140625,5.765625,6.65625,6.0625,7.078125,5.953125,6.046875,5.875,7.359375,5.96875,6.484375,6.375,6.234375,7.0625,6.265625,6.40625,5.71875,8.328125,6.171875
022513,2021-08-03 00:00:00,2021-08-04 00:00:00,24,7.9375,7.9375,7.84375,8.625,7.78125,7.75,8.171875,7.984375,7.765625,7.921875,7.875,7.828125,8.125,8.78125,7.75,8.15625,7.8125,7.890625,7.921875,7.9375,7.84375,7.921875,8.078125,7.953125,7.8125,8.703125,8.421875,8.21875,7.8125,8.640625,7.9375,7.8125,7.96875,8.015625,7.78125,7.984375,8.296875,7.96875,8.21875,8.09375,8.03125,7.796875,7.96875,7.796875,7.9375,7.8125,7.890625,8.453125,8.25,8.140625
022513,2021-08-03 00:00:00,2021-08-05 00:00:00,48,7.15625,7.0,7.25,7.8125,7.0,6.890625,7.3125,7.125,6.953125,7.84375,7.140625,7.0,7.765625,11.78125,7.015625,7.375,6.96875,7.421875,7.234375,7.140625,7.0625,15.140625,12.140625,7.125,6.90625,7.625,7.34375,7.609375,7.109375,7.71875,7.09375,7.0625,7.0625,7.40625,7.109375,7.046875,7.421875,7.359375,7.421875,7.296875,7.171875,7.234375,7.78125,7.0,7.140625,8.828125,7.296875,7.78125,7.453125,7.40625
022513,2021-08-03 00:00:00,2021-08-06 00:00:00,72,6.609375,6.234375,6.421875,6.546875,6.25,6.328125,6.515625,6.3125,6.5,6.984375,7.078125,6.328125,6.546875,10.78125,6.3125,6.9375,6.5,6.5,6.53125,6.390625,6.421875,12.703125,11.140625,6.390625,6.296875,7.359375,6.5625,6.546875,6.421875,6.421875,6.390625,10.390625,7.265625,6.546875,6.28125,6.34375,6.96875,6.390625,6.546875,6.671875,6.578125,6.75,6.953125,6.40625,6.84375,7.03125,6.46875,6.734375,6.546875,6.625
022513,2021-08-03 00:00:00,2021-08-07 00:00:00,96,6.203125,6.3125,6.453125,7.1875,6.328125,6.5625,6.390625,6.828125,5.984375,8.25,6.421875,6.53125,6.25,11.5625,6.4375,6.65625,6.1875,6.546875,6.453125,6.015625,6.3125,12.734375,13.109375,6.953125,7.265625,6.953125,6.0625,6.21875,6.296875,5.90625,6.46875,10.21875,7.734375,8.4375,6.09375,6.40625,6.609375,5.953125,6.234375,6.640625,6.15625,6.796875,7.0625,6.546875,6.828125,7.359375,6.59375,7.0625,6.359375,6.34375
022513,2021-08-03 00:00:00,2021-08-08 00:00:00,120,6.171875,5.9375,5.921875,7.109375,5.96875,6.71875,6.953125,6.265625,6.609375,8.6875,6.265625,7.390625,6.6875,10.53125,5.875,6.40625,6.09375,6.0,6.015625,6.0625,7.265625,10.9375,11.796875,7.0625,7.015625,6.140625,6.4375,5.84375,5.9375,5.765625,6.765625,11.3125,9.328125,7.953125,6.15625,6.21875,6.234375,7.375,6.15625,5.921875,6.65625,6.65625,6.453125,5.859375,7.015625,6.59375,6.453125,6.359375,6.8125,6.4375
022513,2021-08-03 00:00:00,2021-08-09 00:00:00,144,6.0625,5.875,6.140625,7.375,6.296875,6.46875,6.671875,6.40625,6.28125,10.34375,6.0625,8.203125,9.8125,9.796875,5.625,6.8125,6.28125,5.953125,6.71875,6.21875,7.828125,9.21875,12.109375,7.0625,7.078125,6.234375,7.578125,6.40625,5.609375,5.625,8.078125,10.703125,14.890625,7.796875,6.203125,6.15625,5.984375,7.21875,6.03125,6.234375,7.484375,6.171875,6.359375,6.078125,7.5,6.625,7.15625,6.453125,7.75,11.125
022513,2021-08-04 00:00:00,2021-08-05 00:00:00,24,8.4375,12.25,7.828125,7.40625,7.84375,10.90625,14.71875,7.25,10.078125,13.296875,7.515625,7.0625,7.796875,7.34375,8.0625,7.21875,9.3125,11.21875,8.328125,7.328125,12.703125,11.09375,8.171875,8.765625,9.140625,9.28125,6.9375,7.984375,7.46875,7.09375,8.890625,7.046875,8.484375,7.171875,7.625,8.078125,9.21875,7.328125,9.703125,7.703125,8.34375,8.8125,8.515625,8.40625,8.0,7.71875,8.328125,7.640625,7.015625,8.046875
022513,2021-08-04 00:00:00,2021-08-06 00:00:00,48,6.90625,11.03125,6.59375,6.78125,7.015625,9.046875,13.109375,6.328125,9.75,12.21875,6.640625,6.859375,6.84375,11.15625,7.984375,6.484375,8.03125,11.046875,6.953125,6.59375,13.21875,10.40625,6.890625,8.5,8.171875,8.125,6.828125,7.71875,6.375,6.421875,7.828125,6.390625,7.625,8.5625,6.328125,7.046875,8.6875,6.640625,8.3125,6.65625,7.125,7.921875,6.984375,7.40625,6.859375,9.28125,7.0625,6.484375,6.703125,6.546875
